id,NGR,Longitude/Latitude,Site Height,In-Use Ae Ht,In-Use ERP Total,Dir Max ERP,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,Lat,Long
745402,SO24411270,003W05 52 51N48 28,433,47,"0.488,619",65,0.5,1.7,2.9,2.5,1.3,0.4,0,0,0.5,1.2,2.3,2.9,1.6,0.6,0.7,1.9,2.9,2.8,2.7,3.2,4.6,7.2,10.8,12.2,11.5,11.5,12,11.2,7.9,5,3.1,2.7,2.9,2.9,1.8,0.7,51.807795,-3.097781
745403,SO22440237,003W07 27 51N42 53,400,48,"1.000,000",,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,51.714666,-3.12404
745404,SE79536190,000W47 13 54N02 49,224,38,"2.000,000",240,16.4,18.4,20,20,20,20,20,20,20,20,20,18.4,16.4,14.4,12,9.5,7,4.9,3,2.2,1.4,0.9,0.6,0.3,0,0.3,0.6,0.9,1.4,2.2,3,4.9,7,9.5,12,14.4,54.046924,-0.786852
745405,SE12401978,001W48 50 53N40 28,257,62,"0.600,000",230,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,53.674328,-1.813774
745406,TM44175962,001E34 13 52N10 51,21,50,"1.800,002",305,1.4,3.5,3.7,6,8.6,8.6,13.9,7.6,11.3,8.1,5.5,6.9,7.5,6.7,6.6,7.1,7.5,6.5,6.4,10.9,8.1,11,10.2,6.6,6.9,3.4,3.4,1.6,0.4,0.4,0.3,0,0,0.3,0.6,0.8,52.180735,1.570158
745407,TQ29689006,000W07 45 51N35 40,92,102,"3.200,000",,2.2,2.9,2.3,1.7,1.4,1,1,1.5,2,2.6,2.2,1.9,1.5,0.8,0.4,0.4,1,1.6,2.2,2.8,2.4,2.1,1.7,1.2,1.2,1.8,2.4,3,2.3,1.7,1,0.4,0,0,0.7,1.6,51.594459,-0.129257
745408,SJ81274781,002W16 51 53N01 38,220,49,"2.500,000",,0.2,0.9,2,2.8,3,2.3,1.4,0.5,0,0,0.8,1.8,2.8,3,2.2,1.3,0.4,0,0,0.8,2.2,2.9,3,2.3,1.3,0.4,0,0.2,0.9,2,3,3,2.3,1.3,0.5,0,53.027231,-2.28071
745409,SU72233862,000W58 08 51N08 32,148,27,"0.050,000",310,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,51.142291,-0.968873
745410,SH47069066,004W18 05 53N23 26,160,32,"0.600,000",300,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,53.390547,-4.301313
745411,NO39484078,002W59 10 56N33 18,312,211,"10.000,000",,3.2,0.4,0.6,0.6,0.4,1.2,4.4,3.9,3.9,2.9,0.5,0.8,1,0.3,1.2,4.4,4.3,5.7,3.9,0.4,1,1.4,1.1,1.9,5,4.7,4.7,3.2,0,1.1,1.4,0.4,1,4.9,4.6,4.6,56.555053,-2.986125
745412,NO590580,002W40 17 56N42 43,130,25,"1.000,000",0,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,56.711856,-2.671353
745413,SH47604937,004W16 25 53N01 11,300,240,"3.908,949",,1.9,2.4,4.8,6.9,9.8,15.5,13.5,14.2,13.3,12.8,13.8,19.7,16.5,21.8,10.9,3,1.9,1,0,1.1,4.1,2.9,6.1,12.3,17.6,14.7,11.9,22.6,17.1,13.5,17.2,5.3,8.1,8.2,4.7,1.9,53.01985,-4.273475
745414,IH89184461,006W37 46 54N20 33,109,52,"5.000,000",80,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,54.342402,-6.629562
745415,SK18194603,001W43 49 53N00 41,170,40,"0.500,000",350,1.4,1.5,1.2,0.7,0.8,0.6,1,1.9,3.1,5.3,8.3,10.5,14.1,19.7,24,26,26,26,26,19.4,12.5,9.8,6.8,4.8,3.6,2,0.9,0.3,0.1,0,0.9,1.4,1.6,1.6,1.6,1.7,53.011257,-1.730341
745416,SX75826876,003W45 09 50N30 20,156,47,"0.300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.505425,-3.752519
745417,NT51617605,002W46 37 55N58 30,175,18,"1.000,000",170,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,55.974965,-2.776943
745418,SP820141,000W48 42 51N49 10,81,29,"0.600,000",,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,51.819509,-0.811742
745419,SH96893750,003W32 07 52N55 30,309,52,"0.300,000",,3.5,2.5,1.5,0.5,0,0,0,0.5,1.5,2.5,3.5,4.8,5.5,5.5,5.5,5.5,5.5,4.8,3.5,2.5,1.5,0.5,0,0,0,0.5,1.5,2.5,3.5,4.8,5.5,5.5,5.5,5.5,5.5,4.8,52.924963,-3.535217
745420,NJ92721046,002W07 19 57N11 06,74,40,"0.300,000",230,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,57.184868,-2.122071
745421,ID11803969,006W14 43 55N11 30,109,24,"0.100,000",,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,55.191644,-6.24536
745422,SS96692369,003W28 26 51N00 12,226,48,"0.600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.003284,-3.473759
745423,IJ50028174,005W40 33 54N39 41,21,19,"0.400,000",180,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,54.661435,-5.675928
745424,SD218707,003W11 53 54N07 34,23,32,"0.600,000",90,0.5,0,0,0,0.2,0.5,0.5,1,1,0.5,0,0,0,0,0,0.5,1,2,3,4,5,6,6.5,7,7,7,7,7,7,6,5,4,3,2,1,0.7,54.126165,-3.198099
745425,NX81066161,003W51 29 54N56 06,178,22,"2.000,000",210,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,54.934919,-3.857934
745426,SU64314792,001W04 49 51N13 37,176,27,"1.000,000",315,0,0,0.2,0.6,1.2,2,3,4,5.5,6,7,7,7,7,7,7,7,6,5.5,4,3,2,1.2,0.6,0.2,0,0,0,0.2,0.5,0.8,0.8,0.8,0.5,0.2,0,51.226848,-1.080409
745427,ST76936547,002W19 59 51N23 16,175,40,"1.954,474",0,0,0.6,2.3,3.2,1.6,2.2,4.3,4.1,2.1,0.5,1.2,1.3,4.5,6.6,8.7,14.4,14.8,16.4,20.8,23.4,18.5,12.9,9.3,6.1,3.6,2,1.1,0.4,1.1,2.8,3.5,1.7,2.6,4.5,2.8,0.8,51.38779,-2.332925
745428,SX85756205,003W36 38 50N26 50,196,71,"4.666,271",340,1.3,0.3,0.2,2.3,2.1,1.7,1.6,0.6,1.1,3.4,7.6,12.3,15,17.2,17.9,22.1,23.1,22.7,22,20.4,18.6,15,8.3,3,0.4,0,0.5,0.7,2.3,2.8,0.6,1.3,2.1,1,0.6,0.5,50.447129,-3.610498
745429,TM41828943,001E33 26 52N26 57,26,25,"0.050,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.449252,1.557261
745430,SE23723509,001W38 29 53N48 42,149,44,"1.856,752",70,4.4,3.2,1.6,1.1,0.6,0.2,0,0.1,0,0,0.2,1.5,1.7,4.4,5.5,4.3,9.4,6.6,13.7,13.8,8.3,9.2,10.8,10.9,10.5,10.9,9.5,7.4,8.3,19.9,7.9,12.1,11.1,6.4,13.2,4.3,53.811543,-1.641253
745431,SY23028967,003W05 29 50N42 06,93,31,"0.050,000",50,2.4,0.6,0,0,0.1,0.3,0.3,0.4,0.4,0.6,1.5,3.7,8.8,6.9,3.8,5.2,7.3,4.8,2.3,0.7,0,0,0.1,0.2,0.3,0.5,0.5,0.8,1.7,4,9,7.2,3.9,5.2,7.3,5.2,50.701549,-3.091423
745432,TF21828366,000W10 19 53N20 09,125,291,"4.456,255",315,0,0.35,2.29,4.59,2.87,2.54,5.37,3.82,1.04,0.16,0.62,2.42,4.6,3.95,4.23,8.44,7.36,3.96,3.01,3.53,5.37,7.55,7.04,7.49,12.26,11.4,7.46,6.09,6.77,10.45,13.12,6.59,4.59,4.55,2.69,0.76,53.335814,-0.171983
745433,NN59710450,004W15 49 56N12 44,415,28,"2.000,000",90,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,56.212308,-4.263559
745434,SH82475824,003W45 26 53N06 30,303,43,"0.600,000",,0.4,0.8,1.4,2.2,3,4.5,6.5,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.6,0.8,0.4,0,0,0,53.108346,-3.75717
745435,NT01623254,003W33 43 55N34 35,325,51,"0.600,000",300,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,55.576525,-3.56198
745436,SE55389626,001W08 58 54N21 32,381,62,"2.000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.358848,-1.149317
745437,SY68748489,002W26 37 50N39 46,160,48,"0.977,237",0,0,0.5,1.3,2.9,4.6,5.9,7.5,9.6,10.4,9.6,9.2,10.1,11.2,11,9.5,6.4,4.1,2.5,1.6,0.8,0.5,0.5,0.9,0.7,1.4,2.4,3.1,3.1,2.7,2.7,2.6,2.1,1.5,0.8,0.3,0,50.66283,-2.443645
745438,SK02818615,001W57 33 53N22 20,313,40,"0.050,000",330,1.5,1.2,0.7,0.8,0.6,1,1.9,3.1,5.3,8.3,10.5,14.1,19.7,24,26,26,26,26,19.4,12.5,9.8,6.8,4.8,3.6,2,0.9,0.3,0.1,0,0.9,1.4,1.6,1.6,1.6,1.7,1.4,53.372188,-1.95923
745439,SD30933526,003W03 01 53N48 32,6,56,"0.120,000",160,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,53.809005,-3.05038
745440,SN56927570,004W06 09 52N21 38,174,125,"4.666,271",105,0.6,0.6,2,4.8,10,4.1,2.1,6.3,4.5,2,0,0.2,2.1,4.4,4.3,2.1,6.2,9.9,3.4,1.3,0.8,0.8,0.8,2.8,5.3,6.2,9.5,11,9,11.9,13.1,6.2,5,5,2.2,0.9,52.360613,-4.102585
745441,TQ75736134,000E31 14 51N19 26,192,41,"6.300,007",315,1,0,1,2,4,7,10,16,20,20,24,24,24,24,24,24,24,20,20,20,16,11,8,6,2,1,0,1,2,2,2,0,1,3,3,2,51.324006,0.520684
745442,SU14369008,001W47 38 51N36 34,148,37,"4.000,000",170,1,2,2,1,2.7,3,1.3,0,0,1,3,2,1,2,2.7,1,0,0,1.5,3,2,1,2,3,1,0,0,1.4,3,1.7,1,2.6,2,1,1,1,51.609363,-1.794027
745443,TM45367424,001E35 53 52N18 41,22,30,"1.199,999",,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,52.311386,1.598136
745444,SP48390296,001W18 03 51N43 24,162,39,"1.199,999",230,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,51.723271,-1.300854
745445,SK29465533,001W33 41 53N05 40,315,28,"0.300,000",20,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,53.094354,-1.561526
745446,TF334424,000W00 55 52N57 45,3,29,"0.300,000",320,0,0,0.2,0.6,1,1.6,2.5,3.4,4.2,5.5,6.2,6.5,6.8,7,7,6.8,6.5,6.2,5.5,4.2,3.4,2.5,1.6,0.9,0.6,0.2,0,0,0.1,0.4,0.6,0.9,0.9,0.6,0.4,0.1,52.962367,-0.015354
745447,SP91423421,000W40 11 51N59 56,169,55,"1.824,022",,2.6,1.1,0.5,0.2,0.3,1.7,2.7,2.9,4.6,8.5,5.5,4.2,3.1,4.1,5.4,3.1,0.8,1.2,1.7,0.9,0.3,0,0.4,2.5,0.9,0.2,1.3,2.2,0.4,0.3,0.1,1,2.1,0.5,0.3,1.3,51.998806,-0.669784
745448,NT25056945,003W12 02 55N54 44,202,43,"0.977,237",0,0,0.2,0.4,0.8,1.2,1.1,1.4,1.5,1.7,2.5,3.7,5.7,8.2,10.7,13.5,16.5,25,25.9,25.9,25.9,20.7,15.6,12,9.3,7.4,5.7,4.4,3.2,2,1.4,1.4,1.2,1,0.7,0.2,0.2,55.912262,-3.200598
745449,TL775217,000E34 36 51N51 56,62,32,"0.100,000",0,0,0.4,0.8,1.4,2.2,3,4.5,6.5,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,0.8,0.4,0,0,51.865628,0.576571
745450,TL764864,000E35 39 52N26 49,21,29,"1.199,999",30,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1,0.7,0.3,0,0,0,52.447068,0.594193
745451,SO03042994,003W24 45 51N57 34,248,18,"0.500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.959448,-3.412497
745452,HU50313874,001W05 47 60N07 48,224,62,"4.500,005",220,0.2,0.1,0.5,1.5,3.1,5.3,8.1,11.3,15.6,19.6,24,24,22.2,19.4,15.3,11.9,8.8,6,4.2,2.2,0.9,0,0.3,0.3,1.1,1.7,2.4,2.4,2.8,2.6,2.7,2.6,2.4,1.9,1.1,0.7,60.130079,-1.096281
745453,SY45349153,002W46 32 50N43 15,64,51,"0.200,000",30,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,50.720805,-2.775678
745454,SX92135622,003W31 08 50N23 45,50,18,"0.300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.395927,-3.518996
745455,SO94777301,002W04 42 52N21 18,147,39,"1.954,474",,1.8,2.7,1.5,0.5,0.7,1.4,1.1,0.2,0,1.6,3.2,2.1,0.8,0.7,1.2,0.9,0.3,0.5,1.8,2.8,1.7,0.6,0.6,1.1,0.7,0,0.2,1.8,3,2.1,0.9,0.8,1.2,0.8,0.1,0.4,52.355115,-2.078214
745456,IH34925287,007W27 46 54N25 23,305,46,"3.200,000",80,8,5,3,1,0,1,4,2,0,2,3,1,0,1,2,5,10,12,12,12,11,11,11,13,13,12,12,13,10,8,8,8,10,10,8,8,54.423191,-7.462812
745457,NY05763297,003W27 48 54N40 58,125,27,"1.299,999",240,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,54.682913,-3.463248
745458,NS29181617,004W41 59 55N24 35,273,34,"2.399,999",70,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,55.409586,-4.699754
745459,TQ29228193,000W08 20 51N31 17,27,192,"0.800,000",340,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,51.521504,-0.138879
745460,TA16497137,000W13 08 54N07 30,105,19,"1.499,999",200,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,0.8,0.4,0,0,0,0.4,0.8,1.4,2.2,3,4.5,6.5,9,11.8,15,20,20,20,20,54.124979,-0.218986
745461,SS21890618,004W31 49 50N49 40,47,15,"0.293,171",245,6.9,9.5,12,14.4,20,25.9,25.9,25.9,23.7,17.6,13.9,10.7,8.4,6.4,4.8,3.6,2.5,1.5,1.1,1.3,1,0.9,0.6,0.2,0.2,0,0.4,0.6,0.8,1.2,1.2,1.3,1.6,2,3,4.5,50.82768,-4.530383
745462,SY04338250,003W21 15 50N38 04,102,27,"0.600,000",100,2.2,1.1,0.4,0,0.1,0,0.3,0.7,0.9,1.2,1.3,1.1,0.9,0.6,0.3,0,0.1,0.1,0.4,1.1,2.2,3.6,5.4,7.2,9,10.1,10.9,11,11.3,11.1,10.8,10.2,8.8,7.2,5.2,3.6,50.634311,-3.354151
745463,TM34308807,001E26 45 52N26 25,34,13,"0.050,000",350,0,0.4,0.8,1.4,2.2,3,4.5,6.5,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,0.8,0.4,0,0,52.440322,1.445862
745464,TF79584281,000E40 18 52N57 09,60,37,"0.977,237",90,10.5,4.2,8.1,6.4,2.8,3.4,2.5,0.8,0,0.1,0.3,0.2,0.4,0.5,1.8,3.8,3.2,4.1,14.1,4.2,9.1,6.3,2.8,3.3,2.7,0.7,0.1,0.2,0.3,0.3,0.3,0.5,2,3.8,3.2,4.3,52.952591,0.671702
745465,SU96571314,000W37 40 50N54 35,245,46,"0.122,155",180,25.9,25.9,20.7,15.6,12,9.3,7.4,5.7,4.4,3.2,2,1.4,1.4,1.2,1,0.7,0.2,0.2,0,0.2,0.4,0.8,1.2,1.1,1.4,1.5,1.7,2.5,3.7,5.7,8.2,10.7,13.5,16.5,25,25.9,50.909654,-0.627813
745466,SK05977535,001W54 43 53N16 30,432,44,"0.977,237",164,7.5,8.1,9.8,6.6,2.9,1.4,1.4,1,1.1,2.2,2,0.8,0.3,0.3,0.6,0.9,1.2,1.5,1.4,0.7,0,0.4,1.2,0.5,0,0.6,2,3,5.1,7.7,10.7,13.9,17.9,16.9,13.1,9.6,53.275085,-1.911935
745467,TG51391331,001E42 57 52N39 33,17,53,"0.025,000",300,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,52.659164,1.715858
745468,NZ25156398,001W36 31 54N58 11,15,62,"0.025,000",,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,54.969789,-1.608675
745469,SK23207430,001W39 13 53N15 55,275,39,"1.000,000",0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,53.265177,-1.653635
745470,NX52465787,004W18 07 54N53 37,343,61,"2.399,999",140,19,24,26,26,26,16,19,12,9,6,4,3,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,3,5,8,10,14,54.893698,-4.302038
745471,IJ05502474,006W23 09 54N09 39,340,38,"2.999,998",20,0.7,1.3,1.6,1.3,0.7,0.5,0.3,0.1,0.1,0.8,1.3,1.6,2.5,3.6,6,8.9,12,14.9,19.4,22.6,27.3,22.5,17.8,15.1,11.8,8.7,6,3.6,2.4,1.5,1.2,0.7,0,0.1,0.3,0.3,54.160861,-6.385716
745472,NR70701929,005W37 27 55N24 49,83,38,"0.600,000",270,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,55.413714,-5.624241
745473,SX27327079,004W26 13 50N30 41,369,153,"2.387,481",10,0.9,0,0,1.6,4.4,3.8,2.7,3.7,5,3,1.6,1.5,2.4,3.8,6.5,8.5,8,9.3,11.8,11.1,10.5,11.5,11.8,9.9,9.7,10.8,9,6,4.9,5.5,7.6,7.3,5.9,6.3,6.4,3.5,50.511364,-4.43683
745474,SN41112125,004W18 33 51N52 02,137,31,"0.600,000",160,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,51.867126,-4.309135
745475,SN57681534,004W03 58 51N49 07,255,117,"4.886,186",115,1.8,1.8,2.2,1.1,0.8,0.7,0.6,0,0.1,0.1,0.5,0.9,0.1,0.1,0.1,0,0,0.7,0.4,0.5,1.3,0.4,1.6,8.4,7.8,6.1,9.2,13.4,13.5,11.9,12.4,12.6,8.5,6.1,8.9,7.4,51.818501,-4.066216
745476,IJ33668289,005W55 43 54N40 35,207,43,"1.000,000",130,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,54.676355,-5.928737
745477,TQ33585334,000W05 13 51N15 49,226,48,"2.399,999",,1,1.1,1.1,0.8,0.6,0.3,0.1,0,0.1,0.5,1.3,2.4,4,5.7,7.8,9.8,11.6,12.6,13.1,13.3,13.1,12.8,11.5,10,7.9,5.8,4,2.5,1.3,0.4,0.1,0.1,0,0.2,0.5,0.8,51.263565,-0.086822
745478,NS566615,004W17 26 55N49 31,67,66,"0.010,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.825353,-4.290679
